train 57204 images, use 1041.3548700809479 seconds, loss 16.62955863458129
train 57404 images, use 1044.2417216300964 seconds, loss 16.627500286402643
train 57604 images, use 1047.15780043602 seconds, loss 16.626598827839892
train 57804 images, use 1050.1070210933685 seconds, loss 16.6258786600975
train 58004 images, use 1053.8168258666992 seconds, loss 16.6247738072205
train 58204 images, use 1057.440011024475 seconds, loss 16.623380236602078
train 58404 images, use 1060.339028596878 seconds, loss 16.621001930469323
train 58604 images, use 1063.256762266159 seconds, loss 16.61851384807017
train 58804 images, use 1066.327971458435 seconds, loss 16.617372415776384
train 59004 images, use 1069.217277765274 seconds, loss 16.616249416952794
train 59204 images, use 1072.1149888038635 seconds, loss 16.61445523468067
train 59404 images, use 1075.0428805351257 seconds, loss 16.613790000958677
train 59604 images, use 1078.2090632915497 seconds, loss 16.612078783672427
train 59804 images, use 1081.478073835373 seconds, loss 16.610538549191048
train 60004 images, use 1084.655237197876 seconds, loss 16.60957075808624
train 60204 images, use 1087.853664636612 seconds, loss 16.6084328383928
train 60404 images, use 1091.4277601242065 seconds, loss 16.606064572395542
train 60604 images, use 1094.358566045761 seconds, loss 16.6053930857743
train 60804 images, use 1097.3251402378082 seconds, loss 16.60411884991405
train 61004 images, use 1100.387464761734 seconds, loss 16.601826786463448
train 61204 images, use 1103.4781148433685 seconds, loss 16.600823791677414
train 61404 images, use 1106.615005493164 seconds, loss 16.59988028584451
train 61604 images, use 1109.7281956672668 seconds, loss 16.598548815167117
train 61804 images, use 1112.780555486679 seconds, loss 16.596971266756643
train 62004 images, use 1115.8839116096497 seconds, loss 16.594770879933733
train 62204 images, use 1118.9632573127747 seconds, loss 16.593604856557807
train 62404 images, use 1122.0169105529785 seconds, loss 16.592017961364423
train 62604 images, use 1125.3039138317108 seconds, loss 16.59110980432356
train 62804 images, use 1128.3944208621979 seconds, loss 16.589071232928482
train 63004 images, use 1131.5162518024445 seconds, loss 16.587996129459267
train 63204 images, use 1134.554475069046 seconds, loss 16.586348362533883
train 63404 images, use 1137.5717816352844 seconds, loss 16.58514932692126
train 63604 images, use 1140.611279964447 seconds, loss 16.584941947014883
train 63804 images, use 1143.6250545978546 seconds, loss 16.584396066672824
train 64004 images, use 1146.6387114524841 seconds, loss 16.582466184966282
train 64204 images, use 1149.6814742088318 seconds, loss 16.581102994561878
train 64404 images, use 1152.7396445274353 seconds, loss 16.58069174844365
train 64604 images, use 1155.803239107132 seconds, loss 16.57978152520235
train 64804 images, use 1158.9201955795288 seconds, loss 16.578387870006893
train 65004 images, use 1162.1581642627716 seconds, loss 16.577204315702872
train 65204 images, use 1165.3220076560974 seconds, loss 16.57575512552478
train 65404 images, use 1168.4727892875671 seconds, loss 16.574852531786767
train 65604 images, use 1171.628103017807 seconds, loss 16.573832787677816
train 65804 images, use 1174.8815195560455 seconds, loss 16.572658651680253
train 66004 images, use 1178.1064262390137 seconds, loss 16.571325313104396
train 66204 images, use 1181.3186089992523 seconds, loss 16.570330440335482
train 66404 images, use 1184.516194343567 seconds, loss 16.56952106497429
train 66604 images, use 1187.7794978618622 seconds, loss 16.568618295744237
train 66804 images, use 1191.0536975860596 seconds, loss 16.567776376052525
train 67004 images, use 1194.357215166092 seconds, loss 16.56731143454312
train 67204 images, use 1197.6501524448395 seconds, loss 16.566967636896674
